issue_key,summary,description,issue_type,status,priority,resolution,created,updated,assignee,reporter,components,labels,comments,parent
YARN-10898,Support standalone YARN Service API SERVER,"Currently, YARN Service API server is served by ResourceManager. If API Server can be operated independently of Resource Manager. there are serveral advantages.

Bootstrap code for running YARN Service APIServer standalone is already prepared, but it is not exposed as yarn cli subcommand.
 Added apiserver subcommand to yarn cli command and fixed bugs in bootstrap code.

1. APIServer does not run as a daemon, jvm process is terminated
 2. Added SSL certificate configuration
 3. Added authentication handler",Improvement,Patch Available,Major,,2021-08-26T04:26:17.758+0000,2021-08-26T11:53:16.693+0000,,KWON BYUNGCHANG,['yarn-native-services'],[],2,
YARN-10889,[Umbrella] Queue Creation in Capacity Scheduler - Tech debts,Follow-up of YARN-10496,Improvement,Resolved,Major,Fixed,2021-08-18T09:18:20.802+0000,2024-01-27T00:25:00.458+0000,Benjamin Teke,Szilard Nemeth,['capacity scheduler'],['scheduler'],0,
YARN-10843,[Umbrella] Tools to help migration from Fair Scheduler to Capacity Scheduler - part II,"Remaining tasks for fs2cs converter.

Phase I was completed under YARN-9698.",Task,In Progress,Major,,2021-07-06T11:38:37.538+0000,2024-02-23T14:33:26.274+0000,,Peter Bacsko,"['capacity scheduler', 'capacityscheduler']",['fs2cs'],0,
YARN-10835,Pass user defined variables of yarn.nodemanager.env-whitelist along jobs,"The configuration of ""yarn.nodemanager.env-whitelist"" has been helpful in running multi version Hadoop on Yarn. But the pain point is that users need to use different configurations to run jobs of different versions of Hadoop.

The first idea is to have SRE prepared different versions of configurations and let users specify different environment variables of ""HADOOP_CONF_DIR"", this shifts the burden from users to SRE that they have to maintain different versions of configurations with only one or two configurations changed.

This ticket proposes to export the value of the environment variable in ""yarn.nodemanager.env-whitelist"" via the environment variable or Java properties of the client submitting jobs. So that SRE only has to maintain one version of configuration and users can easily define Hadoop version with one export in an environment variable or Java property.

 ",Improvement,Open,Major,,2021-06-28T09:00:47.897+0000,2025-11-29T00:23:06.853+0000,,Janus Chow,[],['pull-request-available'],3,
YARN-10790,CS Flexible AQC: Add separate parent and leaf template property.,"There are certain properties that makes sense only in Parent/Leaf context (eg. ordering-policy). We need a way to limit the inheritance scope for the new auto queue creation templates. The proposal is to have the following template:
 * auto-queue-creation-v2.template -> child ParentQueues and child LeafQueues inherit this
 * auto-queue-creation-v2.leaf-template -> only child LeafQueues inherit this
 * auto-queue-creation-v2.parent-template -> only ParentQueues inherit this",Sub-task,Resolved,Major,Fixed,2021-05-27T13:24:28.167+0000,2024-02-12T06:10:03.674+0000,Andras Gyori,Andras Gyori,['capacity scheduler'],[],4,YARN-10496
YARN-10782,Extend /scheduler endpoint with template properties,YARN-10564 introduced templates for the new AQC feature. We should extend /scheduler endpoint to return template properties set for an AQC enabled queue.,Sub-task,Resolved,Major,Fixed,2021-05-21T08:47:09.850+0000,2021-05-25T16:30:04.055+0000,Andras Gyori,Andras Gyori,['capacity scheduler'],[],4,YARN-10496
YARN-10759,Encapsulate queue config modes,"Capacity Scheduler queues have three modes:
 * relative/percentage
 * weight
 * absolute

Most of them have their own:
 * validation logic
 * config setting logic
 * effective capacity calculation logic

These logics can be easily extracted and encapsulated in separate config mode classes. ",Sub-task,Resolved,Major,Won't Fix,2021-04-27T13:03:43.370+0000,2021-08-31T10:10:40.901+0000,Andras Gyori,Andras Gyori,['capacity scheduler'],[],22,YARN-10889
YARN-10758,Mixed mode: Allow relative and absolute mode in the same queue hierarchy,"Fair Scheduler supports mixed mode for shares (FS equivalent of capacity). An example scenario of such configuration:
{noformat}
root.a.capacity [memory-mb=7268, vcores=8]{noformat}
{noformat}
root.a.a1.capacity 50{noformat}
{noformat}
root.a.a2.capacity 50{noformat}
This above scenario is not supported in CS today because despite CS already permits using weight mode and relative/percentage mode in the same hierarchy the absolute mode and relative mode is mutually exclusive.

This improvement is a natural extension of CS to lift this limitation.",Sub-task,Resolved,Major,Duplicate,2021-04-27T12:51:37.220+0000,2021-10-26T12:27:07.729+0000,Andras Gyori,Andras Gyori,['capacity scheduler'],[],1,YARN-10888
YARN-10755,Multithreaded loading Apps from zk statestore,"In RM, we may be get a list of applications to be read from state store and then divide the work of reading data associated with each app  to multiple threads.

I think its import to large clusters.
h2. Profile

Profile by  TestZKRMStateStorePerf 

Params： -appSize 20000 -appattemptsize 2 -hostPort localhost:2181 

Profile Result： loadRMAppState stage cost is 5s.

Profile logs：

!image-2021-04-27-12-55-18-710.png!  

 

 ",Improvement,Open,Major,,2021-04-27T04:47:21.947+0000,2021-05-14T05:46:58.404+0000,Bilwa S T,chaosju,[],[],1,
YARN-10738,"When multi thread scheduling with multi node, we should shuffle with a gap to prevent hot accessing nodes.","Now the multi threading scheduling with multi node is not reasonable.

In large clusters, it will cause the hot accessing nodes, which will lead the abnormal boom node.

Solution:

I think we should shuffle the sorted node (such the available resource sort policy) with an interval. 

I will solve the above problem, and avoid the hot accessing node.",Improvement,Patch Available,Major,,2021-04-15T05:58:34.624+0000,2026-02-12T22:20:41.919+0000,Qi Zhu,Qi Zhu,[],['pull-request-available'],12,
YARN-10714,Remove dangling dynamic queues on reinitialization,"Current logic does not handle orphaned auto created child queues. The following example steps show a scenario in which it is possible to submit applications to an orphaned queue, that has an invalid (already removed) ParentQueue.
 # Auto create a queue root.a.a-auto
 # Remove root.a from the config
 # Reinitialize CS without restarting it (possible via mutation API)
 # Submit application to root.a.a-auto, while root.a is a non-existent queue",Sub-task,Resolved,Major,Fixed,2021-03-24T17:32:02.493+0000,2024-02-12T05:55:28.977+0000,Andras Gyori,Andras Gyori,['capacity scheduler'],[],6,YARN-10496
YARN-10655,Limit queue creation depth relative to its first static parent,"YARN-10506 introduced a limit on the maximum depth of auto queue creation. This, however, only limits the levels of queue path relative to its first existing parent queue. It poses an unnecessary limitation on users, while providing no real safety net over rogue users (especially when YARN-10632 makes this limit configurable), because it could be incrementally circumvented by creating a new queue under an existing dynamic parent queue. By bounding this limit to the first static parent queue in the hierarchy, we could have a safer alternative.",Sub-task,Resolved,Major,Fixed,2021-02-26T13:26:01.520+0000,2021-03-03T16:47:47.438+0000,Andras Gyori,Andras Gyori,['yarn'],[],7,YARN-10496
YARN-10623,Capacity scheduler should support refresh queue automatically by a thread policy.,"In fair scheduler, it is supported that refresh queue related conf automatically by a thread to reload, but in capacity scheduler we only support to refresh queue related changes by refreshQueues, it is needed for our cluster to realize queue manage.

cc [~wangda] [~ztang] [~pbacsko] [~snemeth] [~gandras]  [~bteke] [~shuzirra]",Improvement,Resolved,Major,Fixed,2021-02-11T02:56:45.330+0000,2024-01-25T15:59:10.448+0000,Qi Zhu,Qi Zhu,['capacity scheduler'],['pull-request-available'],30,
YARN-10621,GPU management using OpenCL instead of vendor-specific solutions,"As part of the [E2Data research project|https://e2data.eu/], we at the [Institute of Communication and Computer Systems (ICCS)|https://www.iccs.gr/en/?noredirect=en_US] of the National Technical University of Athens, Greece, have been working on a modified version of Hadoop Yarn where the GPU devices that are available in the underlying cluster are discovered via a Java wrapper of the OpenCL framework API (namely [JOCL|https://github.com/gpu/JOCL]), instead of vendor-specific binaries.

In other words, we have shifted towards *a more uniform and high-level handling of GPUs as ""OpenCL-enabled"" devices*. This way, we manage to *decouple GPU discovery/management from vendor-specific technicalities*; every GPU, no matter the vendor, is the same for E2Data YARN (more specifically, for the {{NodeManager}} component), provided that the OpenCL runtime and drivers for the GPU(s) of interest are installed on the respective node(s) of the cluster.

This way, we *managed to use GPUs other than NVIDIA* (which are the only ones officially supported via the {{nvidia-smi}} binary) with minimal additional effort, after our initial changes.

Ultimately, our goal is to *unify every processing unit* that YARN can possible utilize (CPU cores, GPUs, FPGAs) *behind a common, simple, high-level interface; that of the OpenCL-enabled device*.

The only drawback of our approach is that vendor-specific info regarding the GPUs is lost (e.g. temperature). We believe, however, that the lost information is not necessary for YARN; everything that Hadoop needs in order to discover and handle GPU devices is provided by OpenCL.

This is just a proposition/a prompt for discussion for the time being. This modified version is a work in progress. We consider community feedback regarding the core concept (and the fact that it may constitute a paradigm shift for YARN) crucial before attaching any patch file and diving into more (technical) details.",Improvement,Open,Minor,,2021-02-09T22:50:01.676+0000,2021-02-12T14:13:16.041+0000,,Sotiris Niarchos,"['nodemanager', 'yarn']",[],1,
YARN-10617,Fifo and Fair intra-queue preemption goes on indefinitely when apps are in pending state due to max AM limit reached,"This case occurs when:
1. an application gets submitted in a cluster running at max-AM limit.
2. The new job requests AM resource. So it has 1 pending request.
3. To fulfil this request, the preemption logic preempts 1 resource from a running app.
4. Because the cluster is at max-AM limit, the scheduler re-assigns the preempted container back to the running app.",Improvement,Patch Available,Major,,2021-02-08T09:39:07.389+0000,2021-02-18T03:12:18.946+0000,VADAGA ANANYO RAO,VADAGA ANANYO RAO,['capacity scheduler'],[],4,
YARN-10598,CS Flexible Auto Queue Creation: Modify RM /scheduler endpoint to extend the creation type with additional information,"Under this umbrella (YARN-10496), weight-mode has been implemented for CS with YARN-10504.

Auto-queue creation has been also implemented with YARN-10506.

Connected to this effort, we would like to expose the type of the queue with the RM's /scheduler REST endpoint.

To extend/modify the values added in YARN-10581 these 3 fields will describe a queue:
 * queueType : *parent/leaf*
 * creationMethod : *static/dynamicLegacy/dynamicFlexible*
 * autoCreationEligibility : *off/legacy/flexible*

After this change here are some example cases:
 * Static parent queue which has the auto-creation-enabled-v2 false:
 ** queueType : *parent*
 ** creationMethod : *static*
 ** autoCreationEligibility : *off*
 * Static managed parent (can have dynamic children):
 ** queueType : *parent*
 ** creationMethod : *static*
 ** autoCreationEligibility : *legacy*
 * Legacy auto-created leaf queue (cannot have children):
 ** queueType : *leaf*
 ** creationMethod : *dynamicLegacy*
 ** autoCreationEligibility : *off*
 * Auto-created (v2) parent queue, (implicitly) auto-creation-enabled-v2 true: 
 ** queueType : *parent*
 ** creationMethod : *dynamicFlexible*
 ** autoCreationEligibility : *flexible*
 * Auto-created (v2) leaf queue (cannot have children):
 ** queueType : *leaf*
 ** creationMethod : *dynamicFlexible*
 ** autoCreationEligibility : *off*",Sub-task,Resolved,Major,Fixed,2021-01-26T14:17:35.528+0000,2024-02-12T01:11:35.728+0000,Benjamin Teke,Benjamin Teke,['capacity scheduler'],[],9,YARN-10496
YARN-10585,Create a class which can convert from legacy mapping rule format to the new JSON format,To make transition easier we need to create tooling to support the migration effort. The first step is to create a class which can migrate from legacy to the new JSON format.,Sub-task,Resolved,Major,Fixed,2021-01-20T11:25:31.184+0000,2024-02-12T01:13:38.537+0000,Gergely Pollák,Gergely Pollák,"['resourcemanager', 'scheduler']",[],17,YARN-10370
YARN-10581,CS Flexible Auto Queue Creation: Modify RM /scheduler endpoint to include queue creation type for queues,"Under this umbrella (YARN-10496), weight-mode has been implemented for CS with YARN-10504.

Auto-queue creation has been also imlemented with YARN-10506.

Connected to this effort, we would like to expose the type of the queue with the RM's /scheduler REST endpoint.

The queue type should hold these values: 
 * Auto-created parent queue: *autoCreatedParent*
 * Auto-created leaf queue: *autoCreatedLeaf*
 * Static parent: *staticParent*
 * Static leaf: *staticLeaf* ",Sub-task,Resolved,Major,Fixed,2021-01-20T09:00:25.042+0000,2021-01-26T15:31:17.591+0000,Szilard Nemeth,Szilard Nemeth,[],[],9,YARN-10496
YARN-10579,CS Flexible Auto Queue Creation: Modify RM /scheduler endpoint to include weight values for queues,"Under this umbrella (YARN-10496), weight-mode has been implemented for CS with YARN-10504.
 We would like to expose the weight values for all queues with the RM's /scheduler REST endpoint.",Sub-task,Resolved,Major,Fixed,2021-01-18T15:54:53.303+0000,2024-02-12T01:09:42.394+0000,Szilard Nemeth,Szilard Nemeth,['capacity scheduler'],[],9,YARN-10496
YARN-10571,Refactor dynamic queue handling logic,"As per YARN-10506 we have introduced an other mode for auto queue creation and a new class, which handles it. We should move the old, managed queue related logic to CSAutoQueueHandler as well, and do additional cleanup regarding queue management.",Sub-task,Resolved,Minor,Fixed,2021-01-13T10:10:15.369+0000,2024-02-12T06:01:33.393+0000,Andras Gyori,Andras Gyori,['capacity scheduler'],[],23,YARN-10496
YARN-10564,Support Auto Queue Creation template configurations,"Similar to how the template configuration works for ManagedParents, we need to support templates for the new auto queue creation logic. Proposition is to allow wildcards in template configs such as:
{noformat}
yarn.scheduler.capacity.root.*.*.weight 10{noformat}
which would mean, that set weight to 10 of every leaf of every parent under root.
We should possibly take an approach, that could support arbitrary depth of template configuration, because we might need to lift the limitation of auto queue nesting.",Sub-task,Resolved,Major,Fixed,2021-01-11T09:39:43.736+0000,2024-02-12T05:55:49.936+0000,Andras Gyori,Andras Gyori,['capacity scheduler'],[],26,YARN-10496
YARN-10546,Limit application resource reservation on nodes for non-node/rack specific requests shoud be supported in CS.,"Just as fixed in YARN-4270  about FairScheduler.

The capacityScheduler should also fixed it.

It is a big problem in production cluster, when it happended.

Also we should support fs convert to cs to support it.",Bug,In Progress,Major,,2020-12-24T07:38:23.549+0000,2026-02-12T22:20:47.365+0000,Qi Zhu,Qi Zhu,['capacityscheduler'],['pull-request-available'],7,
YARN-10534,Enable runC container transformations,"The goal of this Jira is to provide an optional plugin to apply runC container transformations. Enabling runC container transformations will provide an easy way to apply site specific customizations to all containers.

An example of one transformation that many clusters may need could be a Kerberos transformation. This would apply cluster Kerberos configurations and mount them to all runC containers that are submitted, without requiring users to manage them within their own images.",New Feature,Open,Minor,,2020-12-15T16:42:25.926+0000,2025-12-08T00:24:49.124+0000,Matthew Sharp,Matthew Sharp,[],['pull-request-available'],2,
YARN-10524,Support multi resource type based weight mode in CS.,"In fair scheduler support multi resource based absolute and pecentage of the cluster. 

For minResources, maxResources, maxContainerAllocation and maxChildResources properties one can give the parameter in one of the following formats:
 * _Old format_: “X mb, Y vcores”, “X% cpu, Y% memory”, “X%”. When not a single percentage is provided, configuring both memory and cpu is mandatory, while other resource types are ignored, and set to zero.

 * _New format (recommended)_: “vcores=X, memory-mb=Y” or “vcores=X%, memory-mb=Y%”. As seen, in this format one can give either a percentage or an integer resource value without units. In the latter case the units will be inferred from the default units configured for that resource. This format is required when resources other than memory and CPU are specified. Any unspecified resource will be set to 0 in case of minResources, or to the maximum for that resource in case of maxResources, maxContainerAllocation and maxChildResources.

We should to discuss how to do in CapacityScheduler ?",Sub-task,Resolved,Major,Duplicate,2020-12-09T12:44:09.619+0000,2021-05-21T08:51:08.803+0000,Qi Zhu,Qi Zhu,[],[],2,YARN-10496
YARN-10521,To support the mixed mode on different levels(optional) or disabled all.,"*Mixed* percentage / weight / absolute resource should *not* be allowed *at the same time* _at all hierarchical levels_. Restricting this to all levels of the hierarchy is not absolutely necessary, as theoretically it is possible to support the mixed mode on different levels, but whether it is worth it is up for debate. 

*Mixed* static and auto created under the parent will not be supported if the queues are defined by percentages.",Sub-task,Resolved,Major,Won't Fix,2020-12-09T07:08:56.782+0000,2021-01-28T13:00:46.510+0000,Qi Zhu,Qi Zhu,[],[],1,YARN-10496
YARN-10514,"Introduce a dominant resource based schedule policy to increase the resource utilization, avoid heavy cluster resource fragments.","When we schedule in multi node lookup policy for async scheduling, or just use heartbeat update based scheduling, we both meet scheduling fragments. When cpu-intensive jobs or gpu-intensive or memory-intensive etc, the cluster will meet heavy waste of resources, so this issue will help to move scheduler support dominant resource based schedule, to help our cluster get better resource utilization, also in order to load balance nodemanager resource distribution.

 ",Improvement,Patch Available,Major,,2020-12-03T09:58:14.503+0000,2026-02-12T22:20:43.845+0000,Qi Zhu,Qi Zhu,[],[],3,
YARN-10512,CS Flexible Auto Queue Creation: Modify RM /scheduler endpoint to include mode of operation for CS,"Under this umbrella (YARN-10496), weight-mode has been implemented for CS with YARN-10504.
We would like to expose the mode of operation with the RM's /scheduler REST endpoint.
The field name will be 'mode'.
All queue representations in the response will be uniformly hold any of the mode values of: ""percentage"", ""absolute"", ""weight"".",Sub-task,Resolved,Major,Fixed,2020-12-03T09:29:06.007+0000,2024-02-12T01:09:19.044+0000,Szilard Nemeth,Benjamin Teke,['capacity scheduler'],[],21,YARN-10496
YARN-10505,Extend the maximum-capacity property to support Fair Scheduler migration,"Currently Fair Scheduler supports the following 3 kinds of settings:
 * Single percentage (relative to parent) i.e. ""X%""
 * A set of percentages (relative to parent) i.e. ""X% cpu, Y% memory""
 * Absolute resources i.e. ""X mb, Y vcores""

Please note, that the new, recommended format does not support the single percentage mode, only the last 2, like: “vcores=X, memory-mb=Y” or “vcores=X%, memory-mb=Y%” respectively.

Tasks to accomplish:
 #  It is recommended that all three formats are supported for maximum-capacity in CS after introducing weight mode.
 # Also we want to introduce the percentage modes relative to the cluster, not the parent, i.e The property root.users.maximum-capacity will mean one of the following things: 
 ## Either Parent Percentage: maximum capacity relative to its parent. If it’s set to 50, then it means that the capacity is capped with respect to the parent. This can be covered by the current format, no change there.
 ## Or Cluster Percentage: maximum capacity expressed as a percentage of the overall cluster capacity. This case is the new scenario, for example:
{{yarn.scheduler.capacity.root.users.max-capacity = c:50%}}
{{yarn.scheduler.capacity.root.users.max-capacity = c:50%, c:30%}}",Sub-task,Resolved,Major,Duplicate,2020-11-30T16:48:14.815+0000,2021-08-18T12:05:11.377+0000,Benjamin Teke,Benjamin Teke,['capacity scheduler'],[],10,YARN-10888
YARN-10496,[Umbrella] Support Flexible Auto Queue Creation in Capacity Scheduler,"CapacityScheduler today doesn’t support an auto queue creation which is flexible enough. The current constraints: 
 * Only leaf queues can be auto-created
 * A parent can only have either static queues or dynamic ones. This causes multiple constraints. For example:

 * It isn’t possible to have a VIP user like Alice with a static queue root.user.alice with 50% capacity while the other user queues (under root.user) are created dynamically and they share the remaining 50% of resources.

 
 * In comparison, FairScheduler allows the following scenarios, Capacity Scheduler doesn’t:
 ** This implies that there is no possibility to have both dynamically created and static queues at the same time under root
 * A new queue needs to be created under an existing parent, while the parent already has static queues
 * Nested queue mapping policy, like in the following example: 

|<rule name=""nestedUserQueue"" create=”true”>
        <rule name=""primaryGroup"" create=""true"" />
</rule>|
 * Here two levels of queues may need to be created 

If an application belongs to user _alice_ (who has the primary_group of _engineering_), the scheduler checks whether _root.engineering_ exists, if it doesn’t,  it’ll be created. Then scheduler checks whether _root.engineering.alice_ exists, and creates it if it doesn't.

 

When we try to move users from FairScheduler to CapacityScheduler, we face feature gaps which blocks users migrate from FS to CS.",New Feature,Resolved,Major,Fixed,2020-11-19T18:41:25.219+0000,2021-09-08T13:55:42.984+0000,,Wangda Tan,['capacity scheduler'],[],7,
YARN-10493,RunC container repository v2,"The current runc container repository design has scalability and usability issues which will likely limit widespread adoption. We should address this with a new, V2 layout.",Sub-task,Open,Major,,2020-11-17T17:22:37.601+0000,2025-12-03T00:23:48.034+0000,Matthew Sharp,Craig Condit,"['nodemanager', 'yarn']",['pull-request-available'],25,YARN-9014
YARN-10478,Make RM-NM heartbeat scaling calculator pluggable,"[YARN-10475] adds a feature to enable scaling the interval for heartbeats between the RM and NM based on CPU utilization.  [~bibinchundatt] suggested that we make this pluggable so that other calculations can be used if desired.

The configuration properties added in [YARN-10475] should be applicable to any heartbeat calculator.",Improvement,Open,Minor,,2020-11-02T15:00:51.607+0000,2021-06-08T19:12:08.113+0000,Minni Mittal,Jim Brennan,['yarn'],[],0,
YARN-10473,Implement application group manager and related API,"To implement application group manager and create, list and terminate application group API.",Sub-task,Patch Available,Major,,2020-10-26T11:39:43.168+0000,2020-11-30T09:58:34.406+0000,,jialei weng,[],[],2,YARN-10431
