issue_key,issue_type,comments,description_length,lda_baseline_topic,lda_ontology_topic,bertopic_topic,dd_existence,dd_property,dd_executive
YARN-9034,Sub-task,6,15,2,4,-1,True,False,False
YARN-9023,New Feature,4,111,2,4,6,True,True,False
YARN-9021,Improvement,0,42,2,0,4,True,False,False
YARN-9016,New Feature,17,153,2,4,1,True,False,True
YARN-9015,Sub-task,6,38,1,0,-1,True,False,False
YARN-9014,New Feature,10,87,1,0,2,True,False,True
YARN-9003,Sub-task,19,53,1,0,2,True,False,False
YARN-9000,Improvement,0,137,2,4,-1,True,False,False
YARN-8993,Bug,0,27,1,0,2,True,False,False
YARN-8964,Improvement,6,50,2,3,-1,True,False,False
YARN-8982,Sub-task,2,16,1,4,3,True,False,False
YARN-8962,Sub-task,4,20,1,0,2,True,False,False
YARN-8761,Bug,10,22,2,0,-1,True,False,False
YARN-8981,New Feature,2,117,1,0,-1,True,False,False
YARN-8978,Improvement,1,54,1,2,0,True,False,False
YARN-8967,Improvement,26,29,0,4,0,True,False,False
YARN-8965,Improvement,0,41,1,2,0,True,False,False
YARN-8953,Sub-task,9,31,1,0,-1,True,False,False
YARN-8913,Sub-task,3,82,1,0,2,True,False,False
YARN-8890,Sub-task,1,17,1,0,-1,True,False,False
YARN-8903,Improvement,1,154,1,1,-1,True,False,False
YARN-8895,Improvement,4,47,2,4,-1,True,True,False
YARN-8889,Sub-task,1,34,1,0,2,True,False,False
YARN-8887,Sub-task,1,39,1,0,2,True,False,False
YARN-8886,Sub-task,0,19,2,4,-1,True,True,False
YARN-8884,Sub-task,0,27,1,1,-1,True,False,False
YARN-8882,Sub-task,5,22,1,2,-1,True,False,False
YARN-8881,Sub-task,13,28,1,0,-1,True,False,False
YARN-8880,Sub-task,9,29,1,2,-1,True,False,False
YARN-8863,Improvement,0,57,2,1,-1,True,False,False
YARN-8862,Sub-task,4,38,2,3,4,True,False,False
YARN-8851,New Feature,25,51,1,0,-1,True,True,False
YARN-8850,Sub-task,0,7,1,0,-1,False,True,False
YARN-8849,New Feature,6,231,1,1,0,True,False,True
YARN-8848,Bug,0,12,1,0,0,True,True,False
YARN-8839,Sub-task,2,82,1,0,-1,True,True,False
YARN-8838,Sub-task,6,35,2,3,-1,False,True,False
YARN-8836,Improvement,9,33,1,4,0,True,False,False
YARN-8834,Sub-task,18,41,2,3,-1,True,False,False
YARN-8827,Sub-task,12,83,0,2,0,True,False,False
YARN-8821,Sub-task,7,323,1,0,-1,True,True,False
YARN-8820,New Feature,0,76,1,0,-1,True,True,True
YARN-8811,New Feature,14,34,1,0,-1,True,True,False
YARN-8766,Improvement,0,12,1,4,-1,True,False,False
YARN-8765,New Feature,3,42,1,4,0,True,False,False
YARN-8763,Sub-task,20,71,1,4,6,True,False,False
YARN-8762,New Feature,2,38,1,0,2,True,False,False
YARN-8736,New Feature,0,45,1,4,3,True,False,False
YARN-8731,Improvement,0,21,1,0,0,True,False,False
YARN-8697,Sub-task,3,47,1,3,3,True,False,False
YARN-8696,Sub-task,5,115,2,3,9,True,False,False
YARN-8686,Sub-task,4,29,2,3,-1,True,False,False
YARN-8684,Improvement,0,26,1,2,0,True,False,False
YARN-8673,Sub-task,3,53,2,1,-1,True,True,False
YARN-8670,Improvement,5,76,1,2,0,True,False,False
YARN-8643,Sub-task,3,78,1,0,2,True,False,False
YARN-8651,Bug,0,46,1,2,0,False,True,False
YARN-8639,Improvement,3,30,0,2,0,False,True,False
YARN-8638,Improvement,27,117,1,0,2,True,False,False
YARN-8634,Improvement,5,22,2,1,4,True,False,False
YARN-8626,Sub-task,8,30,2,3,3,True,False,False
YARN-8621,Improvement,6,34,2,2,-1,True,False,False
YARN-8618,Improvement,3,32,2,0,4,True,False,False
YARN-8599,Sub-task,0,27,0,3,-1,True,False,False
YARN-8598,Sub-task,0,37,2,3,-1,True,False,False
YARN-8597,Sub-task,0,65,0,3,-1,True,False,False
YARN-8572,Improvement,1,22,2,1,4,True,False,False
YARN-8583,Improvement,3,91,2,3,6,True,True,False
YARN-8571,Bug,4,84,2,3,6,True,False,False
YARN-8559,Improvement,29,46,2,4,-1,True,False,False
YARN-8556,Sub-task,0,16,0,4,0,True,False,False
YARN-8551,Sub-task,13,46,1,3,-1,True,False,False
YARN-8533,Sub-task,0,28,1,0,-1,True,True,False
YARN-8532,Sub-task,0,55,1,0,6,True,True,False
YARN-8499,Sub-task,13,25,2,4,1,True,False,False
YARN-8495,Wish,1,55,1,2,0,True,True,False
YARN-8493,Bug,0,103,0,2,5,False,True,False
YARN-8489,Task,28,83,2,1,-1,True,False,False
YARN-8488,Task,11,22,2,1,4,True,False,False
YARN-8472,Improvement,2,42,1,0,2,True,True,False
YARN-8468,Improvement,71,142,0,2,0,True,False,False
YARN-8451,Bug,9,58,0,1,9,True,False,False
YARN-8461,Improvement,8,49,1,0,-1,True,False,False
YARN-8452,Bug,2,16,1,2,0,False,True,False
YARN-8446,New Feature,2,66,1,2,0,True,True,False
YARN-8412,Task,8,22,2,3,-1,True,False,False
YARN-8411,Sub-task,8,35,2,1,4,True,False,False
YARN-8392,Bug,5,33,1,0,0,True,False,False
YARN-8304,Sub-task,0,33,2,4,5,True,False,False
YARN-8379,Bug,36,62,1,2,0,True,False,False
YARN-8364,Improvement,1,91,0,2,0,True,False,False
YARN-8361,Improvement,12,56,0,4,-1,True,False,False
YARN-8356,Wish,3,23,0,2,5,True,False,False
YARN-8352,Improvement,1,28,0,1,-1,True,False,False
YARN-8306,Improvement,0,38,1,2,0,True,False,False
YARN-8345,New Feature,0,129,0,1,-1,True,False,False
YARN-8333,Improvement,7,43,1,2,-1,True,False,False
YARN-8320,New Feature,23,58,1,0,2,True,True,False
YARN-8314,Sub-task,0,34,2,3,1,True,False,False
YARN-8303,Sub-task,28,48,2,1,4,True,False,False
YARN-8298,Sub-task,24,31,2,0,4,True,False,False
YARN-8286,Sub-task,4,35,1,1,7,True,False,False
YARN-8283,New Feature,3,120,1,0,0,True,False,False
YARN-8256,New Feature,5,133,2,4,-1,True,False,False
YARN-8250,Improvement,26,50,1,1,0,True,True,False
YARN-8240,Sub-task,5,7,0,2,0,True,False,False
YARN-8238,Improvement,1,27,1,0,-1,True,False,False
YARN-8192,Sub-task,5,33,0,1,-1,True,False,False
YARN-8186,Sub-task,5,20,2,1,3,True,False,False
YARN-8178,New Feature,6,72,1,1,0,True,True,False
YARN-8170,New Feature,0,91,1,4,0,True,False,False
YARN-8157,Sub-task,1,39,2,3,1,True,False,False
YARN-8146,Improvement,1,20,2,0,-1,False,True,False
YARN-8137,Sub-task,10,21,0,2,0,False,True,False
YARN-8134,Sub-task,5,15,0,2,-1,True,False,False
YARN-8131,Bug,6,23,2,4,-1,True,False,False
YARN-8104,Sub-task,14,12,0,4,8,True,False,False
YARN-8103,Sub-task,23,19,2,4,8,True,False,False
YARN-8100,Sub-task,13,17,0,4,8,True,False,False
YARN-8092,Sub-task,7,19,2,4,8,True,False,False
YARN-8081,Sub-task,6,13,2,0,4,True,False,False
YARN-8080,Task,32,108,2,1,-1,True,False,False
YARN-7307,Sub-task,16,29,1,0,-1,True,False,False
YARN-8065,Bug,2,22,0,1,7,True,False,False
YARN-8052,Sub-task,1,35,2,0,6,True,False,False
YARN-8042,Sub-task,1,88,2,4,1,True,False,False
YARN-8038,Sub-task,0,39,2,3,1,True,False,False
YARN-8018,Sub-task,27,27,2,3,4,True,False,False
YARN-8015,Sub-task,15,29,1,0,0,True,False,False
YARN-8014,Bug,4,29,2,1,4,True,False,False
YARN-8013,Sub-task,23,79,1,0,0,True,False,False
YARN-8007,Sub-task,7,29,0,0,0,True,False,False
YARN-7996,Sub-task,15,35,1,0,-1,True,False,False
YARN-7976,Sub-task,6,18,2,3,1,True,False,False
YARN-7974,Improvement,22,29,2,4,-1,True,False,False
YARN-7972,Sub-task,16,34,1,0,0,True,False,False
YARN-7939,Sub-task,44,32,2,0,4,True,False,False
YARN-7934,Sub-task,9,27,1,4,0,True,False,False
YARN-7931,Sub-task,14,21,2,3,1,True,False,False
YARN-7930,Sub-task,3,27,0,4,8,True,False,False
YARN-7929,Sub-task,20,57,1,2,-1,True,False,False
YARN-7904,Sub-task,14,18,1,1,2,False,True,False
YARN-7923,Bug,1,89,2,4,-1,False,True,False
YARN-7900,Sub-task,15,30,2,1,4,True,False,False
YARN-7882,Bug,3,72,2,3,-1,True,False,True
YARN-7876,Bug,6,28,2,4,-1,True,False,False
YARN-7871,Sub-task,13,24,0,4,8,True,False,False
YARN-7863,Sub-task,45,14,0,4,0,True,False,False
YARN-7858,Sub-task,3,29,0,4,0,True,False,False
YARN-7856,Sub-task,8,27,0,4,8,True,False,False
YARN-7854,Sub-task,0,55,0,4,-1,True,False,False
YARN-7848,Sub-task,25,26,2,1,7,False,True,False
YARN-7847,New Feature,0,37,1,4,5,True,False,False
YARN-7842,Sub-task,5,19,0,1,9,True,False,False
YARN-7839,Sub-task,10,61,0,2,0,False,True,False
YARN-7831,Bug,1,29,1,4,-1,True,False,False
YARN-7825,Bug,5,32,2,4,-1,True,False,False
YARN-7812,New Feature,3,24,0,0,0,True,False,False
YARN-7806,Bug,4,53,0,1,1,True,False,False
YARN-7606,Sub-task,1,27,2,3,-1,False,True,False
YARN-7790,Bug,8,78,0,2,-1,True,True,False
YARN-7778,Sub-task,15,57,1,2,0,True,False,False
YARN-7774,Sub-task,15,47,0,2,0,True,False,False
YARN-7724,Sub-task,12,25,2,1,4,True,False,False
YARN-7713,Improvement,6,18,2,4,-1,True,False,False
YARN-7707,Sub-task,9,16,1,3,3,True,False,False
YARN-7694,Sub-task,1,32,1,4,-1,True,False,False
YARN-7686,New Feature,0,66,0,1,-1,True,False,False
YARN-7672,Improvement,12,42,0,2,0,True,True,False
YARN-7670,Sub-task,13,15,2,4,0,True,False,False
YARN-7669,Sub-task,15,14,2,4,0,True,False,False
YARN-7666,Sub-task,12,29,0,2,0,True,False,False
YARN-7662,Bug,14,49,1,3,-1,True,False,False
YARN-7660,Bug,0,30,0,4,9,True,False,False
YARN-7657,Sub-task,9,42,0,4,0,True,False,False
YARN-7655,Improvement,19,108,1,2,0,True,True,False
YARN-7653,Sub-task,8,40,1,0,0,True,False,False
YARN-7033,Improvement,16,26,1,0,-1,True,False,False
YARN-7643,Sub-task,12,29,0,4,0,True,False,False
YARN-7634,Sub-task,8,43,0,4,0,True,False,False
YARN-7622,Improvement,19,29,2,2,1,True,True,False
YARN-7621,Sub-task,16,45,0,3,0,True,False,False
YARN-7612,Sub-task,51,24,0,0,0,True,False,False
YARN-7605,Sub-task,39,71,2,3,-1,True,False,False
YARN-7599,Sub-task,15,31,2,3,4,True,False,False
YARN-7583,Improvement,0,37,1,1,2,False,True,False
YARN-7540,Sub-task,17,100,2,3,-1,True,False,False
YARN-7530,Sub-task,16,29,1,4,6,True,False,False
YARN-7522,Sub-task,22,32,1,0,0,True,False,False
YARN-7520,Sub-task,11,39,0,2,0,True,False,False
YARN-7506,Sub-task,6,134,1,0,2,True,True,True
YARN-7495,Improvement,4,25,1,3,0,False,True,False
YARN-7494,Sub-task,65,22,1,2,0,False,True,False
YARN-7492,Bug,4,11,2,2,-1,True,False,False
YARN-7481,New Feature,8,75,1,0,-1,False,True,True
YARN-7473,Sub-task,29,54,0,4,0,True,False,False
YARN-7469,Bug,15,61,0,2,0,True,False,False
YARN-7468,Task,14,19,1,2,-1,False,True,False
YARN-7457,Sub-task,20,51,1,2,0,True,True,False
YARN-7441,Sub-task,1,18,1,0,-1,True,False,False
YARN-7438,Sub-task,12,38,1,4,0,True,False,False
YARN-7423,Sub-task,4,4,2,2,5,True,False,False
YARN-7419,Sub-task,16,56,0,4,0,True,False,False
YARN-7405,Sub-task,0,30,1,1,-1,True,False,False
YARN-7399,Improvement,6,182,2,3,6,True,True,False
YARN-7384,Sub-task,5,11,2,4,4,True,False,False
YARN-7376,Improvement,4,22,1,3,-1,True,False,False
YARN-7368,Improvement,0,42,2,1,-1,True,False,False
YARN-7297,Improvement,0,27,1,2,0,True,True,False
YARN-7292,Sub-task,24,89,1,2,0,True,False,False
YARN-7282,Improvement,1,16,1,4,2,True,False,False
YARN-7273,Improvement,0,120,1,2,0,True,False,False
YARN-7272,Sub-task,14,22,2,3,1,True,True,False
YARN-7271,Sub-task,4,39,2,2,0,True,False,False
YARN-7265,Wish,5,74,2,4,5,True,False,False
YARN-7250,Sub-task,6,84,2,3,2,True,False,False
YARN-7224,Sub-task,21,229,1,0,-1,True,False,True
YARN-7218,Sub-task,18,143,2,4,6,True,False,False
YARN-7217,Task,28,251,2,4,-1,True,True,False
YARN-7215,Sub-task,10,64,2,4,6,True,False,False
YARN-7193,Sub-task,8,45,2,4,6,True,False,False
YARN-7192,Bug,19,29,2,4,-1,True,False,False
YARN-1637,Sub-task,35,20,2,3,1,True,False,False
YARN-7159,Sub-task,53,36,1,2,0,True,True,False
YARN-7158,Sub-task,2,39,1,2,0,False,True,False
YARN-7142,Sub-task,22,22,1,0,0,True,False,False
YARN-7129,Sub-task,71,25,1,4,2,True,False,False
YARN-7127,Sub-task,16,6,1,0,-1,True,False,False
YARN-7117,New Feature,23,54,0,4,0,True,False,False
YARN-7109,Sub-task,9,5,2,4,-1,True,False,False
YARN-7107,Improvement,10,88,0,2,0,True,False,False
YARN-7097,Sub-task,0,10,2,1,3,True,False,False
YARN-7096,Sub-task,0,8,2,1,3,True,False,False
YARN-7095,Sub-task,10,9,2,1,3,True,False,False
YARN-7079,Improvement,5,28,1,0,0,True,False,False
YARN-7069,Improvement,0,14,1,0,0,True,False,False
YARN-7061,Sub-task,0,17,2,3,-1,True,True,False
YARN-7059,Sub-task,2,25,2,1,1,True,False,False
YARN-7055,New Feature,7,15,1,0,-1,True,False,False
YARN-7054,New Feature,3,3,1,0,-1,True,False,False
YARN-7053,Improvement,13,18,2,0,-1,True,False,False
YARN-7037,Improvement,7,50,2,2,5,False,True,False
YARN-1636,Sub-task,9,11,2,4,1,True,False,False
YARN-7031,Sub-task,7,9,0,4,8,True,False,False
YARN-7019,New Feature,7,54,1,1,-1,True,True,False
YARN-7018,New Feature,13,47,2,4,9,True,False,False
YARN-7017,New Feature,4,42,1,4,0,True,False,False
YARN-7016,Bug,0,12,1,3,-1,True,False,False
YARN-7010,Sub-task,9,8,2,1,3,True,False,False
YARN-7006,Sub-task,12,36,2,3,-1,True,True,False
YARN-7005,Improvement,7,50,0,2,0,False,True,False
YARN-7004,Improvement,4,66,1,2,0,False,True,False
YARN-7003,Bug,9,58,0,1,0,True,False,False
YARN-6963,Improvement,3,45,1,1,-1,True,True,False
YARN-6960,Bug,6,173,1,2,0,True,False,False
YARN-1635,Sub-task,19,14,2,4,-1,True,False,True
YARN-6947,Improvement,0,34,0,2,0,False,True,False
YARN-6936,Sub-task,29,62,2,3,1,True,False,False
YARN-6915,Bug,2,16,2,4,-1,True,False,True
YARN-6903,Sub-task,11,47,1,0,6,True,True,False
YARN-6896,Sub-task,7,22,2,4,3,True,False,False
YARN-6889,Improvement,2,51,1,2,-1,False,True,False
YARN-6877,Sub-task,22,21,2,4,5,True,False,False
YARN-6876,Sub-task,9,20,2,4,5,True,False,False
YARN-6875,New Feature,18,30,2,2,5,True,True,False
YARN-6858,Sub-task,31,13,0,4,8,True,False,False
YARN-6857,Sub-task,7,11,0,4,8,True,False,False
YARN-6855,Sub-task,20,11,2,4,8,True,False,False
YARN-6848,Sub-task,1,25,2,4,-1,True,False,False
YARN-6842,Improvement,19,31,2,4,0,True,False,False
YARN-6839,Sub-task,3,23,2,4,5,True,False,False
YARN-6829,Sub-task,1,26,0,1,0,True,False,False
YARN-6828,Bug,1,51,0,1,0,True,False,False
YARN-1634,Sub-task,7,14,1,0,-1,True,False,False
YARN-6820,Sub-task,42,106,2,3,1,True,True,False
YARN-6791,Improvement,4,88,2,4,-1,True,True,False
YARN-6789,Sub-task,29,13,2,0,-1,True,False,False
YARN-6777,Sub-task,13,13,0,3,-1,True,False,False
YARN-6774,Wish,1,46,2,1,4,True,False,False
YARN-6753,Bug,6,33,2,4,-1,True,False,False
YARN-1633,Sub-task,5,14,2,0,1,True,False,False
YARN-6734,Sub-task,21,70,2,3,1,True,False,False
YARN-6733,Sub-task,36,58,2,3,1,True,False,False
YARN-6724,Sub-task,2,35,1,3,3,True,False,False
YARN-6573,Improvement,3,22,1,2,0,True,True,False
YARN-6704,Sub-task,11,39,2,1,-1,True,False,False
YARN-6691,Sub-task,13,24,2,4,4,True,False,False
YARN-6688,Improvement,4,22,0,2,0,True,False,False
YARN-6679,Sub-task,17,24,1,0,0,False,True,False
YARN-6671,Improvement,1,13,1,1,-1,True,False,False
YARN-6670,Sub-task,21,6,1,2,-1,True,False,False
YARN-6669,Sub-task,20,61,2,3,6,True,True,False
YARN-6636,Sub-task,2,30,0,2,8,True,False,False
YARN-6634,Improvement,19,35,2,4,-1,True,False,False
YARN-6612,Sub-task,28,7,0,2,0,True,False,False
YARN-6626,Sub-task,26,50,2,3,-1,True,False,True
YARN-6621,Sub-task,0,45,0,0,0,True,False,False
YARN-6620,Sub-task,44,21,1,0,-1,True,False,False
YARN-6601,Sub-task,5,61,1,4,4,True,False,False
YARN-6599,Sub-task,41,6,1,0,0,True,False,False
YARN-6596,Sub-task,30,19,0,0,0,True,False,False
YARN-6592,New Feature,8,22,1,0,0,True,False,False
YARN-6586,Improvement,6,104,1,4,6,True,True,True
YARN-6569,New Feature,0,73,0,4,8,True,False,False
YARN-6567,Improvement,2,124,1,2,0,True,True,False
YARN-6527,Sub-task,4,39,1,2,-1,False,True,False
YARN-6524,Bug,2,54,1,2,-1,False,True,False
YARN-6521,Improvement,9,41,2,2,5,True,False,False
YARN-6511,Sub-task,9,42,2,4,3,True,False,False
YARN-6507,Sub-task,26,25,1,0,-1,True,False,False
YARN-6484,Sub-task,11,13,2,4,-1,True,False,False
YARN-6469,Sub-task,1,17,0,4,0,True,False,False
YARN-6466,New Feature,10,21,1,0,-1,True,False,False
YARN-6462,Improvement,4,45,2,2,0,True,False,False
YARN-6449,Improvement,6,96,1,2,0,True,True,False
YARN-6440,Sub-task,2,60,0,1,0,True,False,False
YARN-6426,Improvement,8,40,2,4,-1,True,True,False
YARN-6407,Bug,10,86,2,2,-1,False,True,False
YARN-6401,Improvement,3,51,2,1,-1,True,False,False
